사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
세종스파 휘트니스,2020-02-12,,,,,영업/정상,세종특별자치시 장군면 봉안리 387,"세종특별자치시 장군면 봉안길 70, 2층","세종특별자치시 장군면 봉안길 70, 2층",0,,,2020
BODY PT 나성점,2020-03-02,,,,,영업/정상,세종특별자치시 나성동 763 행복의아침,"세종특별자치시 한누리대로 292, 행복의아침 201,202,205,210,211,212호 (나성동)","세종특별자치시 한누리대로 292, 행복의아침 201,202,205,210,211,212호 (나성동)",0,,,2020
호랭이 휘트니스,2022-01-04,,,,,영업/정상,세종특별자치시 아름동 1316 송남빌딩,"세종특별자치시 보듬3로 154, 송남빌딩 701호 (아름동)","세종특별자치시 보듬3로 154, 송남빌딩 701호 (아름동)",0,,,2022
짐카페,2021-12-15,,,,,영업/정상,세종특별자치시 보람동 757 위너스타워,"세종특별자치시 남세종로 462, 위너스타워 701호 (보람동)","세종특별자치시 남세종로 462, 위너스타워 701호 (보람동)",0,,,2021
커브스 보람클럽,2018-08-28,,,,,영업/정상,세종특별자치시 보람동 629-4번지 세종시드니,"세종특별자치시 호려울로 29, 세종시드니 6층 604호 (보람동)","세종특별자치시 호려울로 29, 세종시드니 6층 604호 (보람동)",0,,,2018
챔피언짐,2020-04-06,,,,,영업/정상,세종특별자치시 종촌동 658번지 메디케어빌딩,"세종특별자치시 도움3로 105-7, 메디케어빌딩 3층 303,4,5호 (종촌동)","세종특별자치시 도움3로 105-7, 메디케어빌딩 3층 303,4,5호 (종촌동)",0,,,2020
Awareness move,2021-10-25,,,,,영업/정상,세종특별자치시 나성동 739 세진팰리스 203호,"세종특별자치시 한누리대로 283, 세진팰리스 203호 (나성동)","세종특별자치시 한누리대로 283, 세진팰리스 203호 (나성동)",0,,,2021
길라잡이 체육관,2021-11-01,,,,,영업/정상,세종특별자치시 보람동 755 네이버타워,"세종특별자치시 호려울로 9, 네이버타워 303~305호 (보람동)","세종특별자치시 호려울로 9, 네이버타워 303~305호 (보람동)",0,,,2021
우리핏,2021-11-12,,,,,영업/정상,세종특별자치시 도담동 660 세종한신휴시티,"세종특별자치시 보듬3로 8-20, 세종한신휴시티 204~205호 (도담동)","세종특별자치시 보듬3로 8-20, 세종한신휴시티 204~205호 (도담동)",0,,,2021
91Fit,2020-07-07,,,,,영업/정상,세종특별자치시 나성동 757 세종마루2,"세종특별자치시 한누리대로 316, 세종마루2 201~204호 (나성동)","세종특별자치시 한누리대로 316, 세종마루2 201~204호 (나성동)",0,,,2020
크로스핏 세종,2021-07-14,,,,,영업/정상,세종특별자치시 금남면 용포리 238-23,세종특별자치시 금남면 성덕영곡길 20,세종특별자치시 금남면 성덕영곡길 20,0,,,2021
브로스나인,2021-07-09,,,,,영업/정상,세종특별자치시 다정동 932 다정메디프라자,"세종특별자치시 다정중앙로 58, 다정메디프라자 204~206호 (다정동)","세종특별자치시 다정중앙로 58, 다정메디프라자 204~206호 (다정동)",0,,,2021
킴스피트니스클리닉(한솔점),2021-08-11,,,,,영업/정상,세종특별자치시 한솔동 1062 목화상가 201호,"세종특별자치시 누리1로 83, 목화상가 201호 (한솔동)","세종특별자치시 누리1로 83, 목화상가 201호 (한솔동)",0,,,2021
길라잡이 체육관 나성점,2021-05-24,,,,,영업/정상,세종특별자치시 나성동 788 메가타워2,"세종특별자치시 나성북1로 12, 메가타워2 301,302호 (나성동)","세종특별자치시 나성북1로 12, 메가타워2 301,302호 (나성동)",0,,,2021
헬스매니아 프로짐,2021-05-31,,,,,영업/정상,세종특별자치시 대평동 672 아마존타워,"세종특별자치시 시청대로 20, 아마존타워 203~205호 (대평동)","세종특별자치시 시청대로 20, 아마존타워 203~205호 (대평동)",0,,,2021
팀승전보,2021-06-08,,,,,영업/정상,세종특별자치시 도담동 655 해피라움7,"세종특별자치시 한누리대로 589, 해피라움7 303호 (도담동)","세종특별자치시 한누리대로 589, 해피라움7 303호 (도담동)",0,,,2021
골든타임핏,2021-06-08,,,,,영업/정상,세종특별자치시 조치원읍 죽림리 114-1,"세종특별자치시 조치원읍 세종로 2282, 6층 602~604호","세종특별자치시 조치원읍 세종로 2282, 6층 602~604호",0,,,2021
스탠바이짐 세종점,2018-09-13,,,,,영업/정상,세종특별자치시 나성동 791 애플타워,"세종특별자치시 나성로 133-15, 애플타워 제1동 5층 506호 (나성동)","세종특별자치시 나성로 133-15, 애플타워 제1동 5층 506호 (나성동)",0,,,2018
스파렉스짐,2020-09-10,,,,,영업/정상,세종특별자치시 종촌동 672 메가시티,"세종특별자치시 도움1로 106, 메가시티 703호 (종촌동)","세종특별자치시 도움1로 106, 메가시티 703호 (종촌동)",0,,,2020
유어바디,2020-10-06,,,,,영업/정상,세종특별자치시 도담동 677 해피라움6,"세종특별자치시 보듬3로 8-29, 해피라움6 202,207,206호 (도담동)","세종특별자치시 보듬3로 8-29, 해피라움6 202,207,206호 (도담동)",0,,,2020
트루짐,2020-11-11,,,,,영업/정상,세종특별자치시 소담동 36-11 아이콤스타시티타워,"세종특별자치시 소담로 93, 아이콤스타시티타워 205~210호 (소담동)","세종특별자치시 소담로 93, 아이콤스타시티타워 205~210호 (소담동)",0,,,2020
