사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
보보스 스포츠센타,2006-08-23,,,,20170530.0,취소/말소/만료/정지/중지,충청남도 당진시 송악읍 복운리 1652-17번지,충청남도 당진시 송악읍 신복운로2길 31-33 (동방2프라자),충청남도 당진시 송악읍 신복운로2길 31-33 (동방2프라자),1,2017-05-30,2017,2006
레드짐휘트니스,2013-03-26,,,,20160504.0,취소/말소/만료/정지/중지,충청남도 논산시 취암동 1047-2번지,충청남도 논산시 중앙로410번길 7-9 (취암동),충청남도 논산시 중앙로410번길 7-9 (취암동),1,2016-05-04,2016,2013
더오름핏라테스랩,2018-07-06,,,,20201027.0,취소/말소/만료/정지/중지,충청남도 계룡시 금암동 148-3 씨티타워,"충청남도 계룡시 계룡대로 325, 씨티타워 7층 701호 (금암동)","충청남도 계룡시 계룡대로 325, 씨티타워 7층 701호 (금암동)",1,2020-10-27,2020,2018
오렌지헬스클럽,2003-03-12,,,,20120410.0,취소/말소/만료/정지/중지,충청남도 서천군 서천읍 사곡리 318-5번지,,충청남도 서천군 서천읍 사곡리 318-5번지,1,2012-04-10,2012,2003
파워존스포츠,2008-07-08,,,,20181108.0,취소/말소/만료/정지/중지,충청남도 아산시 온천동 94-2번지,충청남도 아산시 시장길25번길 2 (온천동),충청남도 아산시 시장길25번길 2 (온천동),1,2018-11-08,2018,2008
꿀 바디 짐,2016-08-05,,,,20190402.0,폐업,충청남도 천안시 서북구 두정동 1273번지,"충청남도 천안시 서북구 성정두정로 91, 3층 (두정동, 초록연)","충청남도 천안시 서북구 성정두정로 91, 3층 (두정동, 초록연)",1,2019-04-02,2019,2016
K-GYM,2016-10-06,,,,20191105.0,폐업,충청남도 천안시 동남구 목천읍 신계리 388-6번지,"충청남도 천안시 동남구 목천읍 충절로 781, 2층","충청남도 천안시 동남구 목천읍 충절로 781, 2층",1,2019-11-05,2019,2016
바디 엠,2015-07-07,,,,20180321.0,폐업,충청남도 천안시 동남구 신방동 1544번지 4층,"충청남도 천안시 동남구 통정5로 57, 4층 (신방동)","충청남도 천안시 동남구 통정5로 57, 4층 (신방동)",1,2018-03-21,2018,2015
(주)올에이치짐,2015-07-24,,,,20180322.0,폐업,충청남도 천안시 서북구 불당동 716번지 대왕빌딩,"충청남도 천안시 서북구 검은들3길 33, 4층 (불당동)","충청남도 천안시 서북구 검은들3길 33, 4층 (불당동)",1,2018-03-22,2018,2015
최무룡헬스클럽,2002-05-15,,,,20050516.0,폐업,충청남도 보령시 대천동 197-18번지,충청남도 보령시 한내시장길 27  (대천동),충청남도 보령시 한내시장길 27  (대천동),1,2005-05-16,2005,2002
한화탁구장,2002-12-30,,,,20090204.0,폐업,충청남도 보령시 신흑동 2017번지,충청남도 보령시 해수욕장3길 11-10  (신흑동),충청남도 보령시 해수욕장3길 11-10  (신흑동),1,2009-02-04,2009,2002
