,사업장명,인허가일자,인허가취소일자,폐업일자,상세영업상태코드,상세영업상태명,도로명주소,지번주소
3398,금강남여헬스,20000920,,20070425.0,3,폐업,경기도 양주시 회정로 114  (덕정동),경기도 양주시 덕정동 208번지
3399,J&P 헬스센터,20000313,,20070221.0,3,폐업,,경기도 양주시 백석읍 복지리 322-4번지
3400,천왕헬스,20020805,,20111230.0,3,폐업,경기도 양주시 평화로 1412  (덕계동),경기도 양주시 덕계동 418-7번지
3401,삼희헬스클럽,20020924,,20200327.0,3,폐업,경기도 양주시 백석읍 중앙로 189-5,경기도 양주시 백석읍 복지리 202-6번지 
3402,해미건강교실,20000401,,20070823.0,3,폐업,경기도 양주시 평화로 1436  (덕계동),경기도 양주시 덕계동 421-1번지
3403,홍키통키,20150324,,20170830.0,3,폐업,경기도 양주시 평화로 1407 (덕계동),경기도 양주시 덕계동 698-13번지
3404,나인짐,20121018,,20160329.0,3,폐업,"경기도 양주시 고읍남로 6-6 (광사동, 해동센트럴타워 8층)",경기도 양주시 광사동 651-1번지 해동센트럴타워 8층
3405,점프짐 휘트니스,20110509,,20190923.0,3,폐업,"경기도 양주시 삼숭로38번길 106 (삼숭동,양주프라자4상가)",경기도 양주시 삼숭동 202-37번지 양주프라자4상가 
3406,성광헬스클럽,20000226,,20020930.0,3,폐업,경기도 양주시 광적면 가래비길 36,경기도 양주시 광적면 가납리 740-7번지
3407,파워헬스 클럽,20010104,,20080609.0,3,폐업,,경기도 양주시 광적면 가납리 741-7번지
3408,양주자이 휘트니스센터,20050914,,20100809.0,3,폐업,경기도 양주시 삼숭로38번길 80  (삼숭동),경기도 양주시 삼숭동 685-1번지
3409,B.M 헬스,20000318,,20041110.0,3,폐업,,경기도 양주시 만송동 269-11번지
