,사업장명,인허가일자,인허가취소일자,폐업일자,상세영업상태코드,상세영업상태명,도로명주소,지번주소
996,조피티짐,2021-10-07,,,13,영업중,서울특별시 동대문구 답십리로 276 2층 (장안동),서울특별시 동대문구 장안동 369-1 
997,에이치짐 PT,2021-10-06,,,13,영업중,서울특별시 동대문구 전농로 211 글터빌딩 7층 (전농동),서울특별시 동대문구 전농동 124-12 
998,회기동헬스학교 경희대학교점,2021-11-16,,,13,영업중,서울특별시 동대문구 회기로19길 23 2층 (회기동 유경빌딩),서울특별시 동대문구 회기동 16-36 유경빌딩 
999,어메이징 휘트니스,2020-09-01,,,13,영업중,서울특별시 동대문구 장안벚꽃로 167 B101호 (장안동 래미안장안2차아파트),서울특별시 동대문구 장안동 329-3 래미안장안2차아파트 
1000,브이엠휘트니스 청량리점,2021-07-14,,,13,영업중,서울특별시 동대문구 답십리로 9 6층 (전농동),서울특별시 동대문구 전농동 622-1 
1001,소울핏,2021-08-25,,,13,영업중,서울특별시 동대문구 장한로 25 9층 (장안동),서울특별시 동대문구 장안동 431-3 
1002,피트니스131,2021-09-16,,,13,영업중,서울특별시 동대문구 하정로3길 6 지하1층 (신설동),서울특별시 동대문구 신설동 98-34 
1003,빌리프짐 회기점,2021-05-10,,,13,영업중,서울특별시 동대문구 망우로 123 4층 1호 (휘경동),서울특별시 동대문구 휘경동 71-1 
1004,메이크픽스짐,2021-06-02,,,13,영업중,서울특별시 동대문구 경희대로4길 64 지하1층 (회기동),서울특별시 동대문구 회기동 54-16 
1005,제네핏(Genefit),2021-06-24,,,13,영업중,서울특별시 동대문구 서울시립대로 94 4층 (전농동),서울특별시 동대문구 전농동 568-3 전농동새마을금고 
1006,triofit,2021-04-27,,,13,영업중,서울특별시 동대문구 답십리로72길 66 (장안동),서울특별시 동대문구 장안동 338-8 
1007,버닝타임짐,2020-09-16,,,13,영업중,서울특별시 동대문구 전농로 12 34호 (답십리동),서울특별시 동대문구 답십리동 488-327 
1008,크로스핏 온앤온,2020-09-16,,,13,영업중,서울특별시 동대문구 천호대로85길 32 동양빌딩 지하1층 (장안동),서울특별시 동대문구 장안동 460-1 동양빌딩 
1009,쿰짐(제이벌스),2020-10-13,,,13,영업중,서울특별시 동대문구 황물로 42 2층 (답십리동),서울특별시 동대문구 답십리동 542-1 
1010,FITNESS K,2020-11-05,,,13,영업중,서울특별시 동대문구 사가정로 136 3층 (전농동),서울특별시 동대문구 전농동 40 
1011,클 필라테스 플러스 피티,2021-02-08,,,13,영업중,서울특별시 동대문구 장한로 130 4층 401호 (장안동),서울특별시 동대문구 장안동 368-4 
1012,we body gym(위바디짐),2021-03-04,,,13,영업중,서울특별시 동대문구 한천로 264 5층 (휘경동),서울특별시 동대문구 휘경동 57-1 
1013,회기동 헬스학교,2021-02-17,,,13,영업중,서울특별시 동대문구 경희대로4길 60 지층 1호 (회기동),서울특별시 동대문구 회기동 54-15 
1014,태정헬스,1996-03-15,,,13,영업중,서울특별시 동대문구 망우로 74  (휘경동),서울특별시 동대문구 휘경동 269-26번지 
1015,동아헬스,2003-05-26,,,13,영업중,서울특별시 동대문구 답십리로60길 134 상가동 4층 (답십리동 동아아파트),서울특별시 동대문구 답십리동 10-3 동아아파트 
1016,크로스핏(헬스),2014-11-10,,,13,영업중,서울특별시 동대문구 왕산로 122 (용두동),서울특별시 동대문구 용두동 788번지 
1017,헬스파크,2003-08-04,,,13,영업중,서울특별시 동대문구 이문로 73 2층 (이문동),서울특별시 동대문구 이문동 335-13 
1018,에센휘트니스 크럽,2003-11-20,,,13,영업중,서울특별시 동대문구 장안벚꽃로 107 상가동 311호 (장안동 장안현대홈타운),서울특별시 동대문구 장안동 336 장안현대홈타운 
1019,삼성휘트니스클럽,2015-11-09,,,13,영업중,서울특별시 동대문구 전농로 91 (답십리동),서울특별시 동대문구 답십리동 244-1번지 
1020,HTV 휘트니스,2015-11-12,,,13,영업중,서울특별시 동대문구 망우로 101 (휘경동),서울특별시 동대문구 휘경동 42-23번지 
1021,머슬허슬,2014-06-26,,,13,영업중,서울특별시 동대문구 종암로 2-1 (제기동),서울특별시 동대문구 제기동 1149-12번지 
1022,휴맥스 휘트니스크럽,2005-11-17,,,13,영업중,서울특별시 동대문구 장한로 40  (장안동지하1층 4층),서울특별시 동대문구 장안동 435-5번지 지하1층 4층 
1023,H GYM(에이치 짐),2016-01-25,,,13,영업중,서울특별시 동대문구 왕산로 211-1 (청량리동),서울특별시 동대문구 청량리동 249 
1024,스포벡휘트니스,2015-02-03,,,13,영업중,서울특별시 동대문구 이문로 37 (회기동),서울특별시 동대문구 회기동 346-18 
