사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
UP & DOWN FITNESS,2020-01-15,,,,,영업/정상,"경상남도 김해시 구산동 1051-2 401,4호","경상남도 김해시 삼계로 30, 4층 401,406,411호 (구산동)","경상남도 김해시 삼계로 30, 4층 401,406,411호 (구산동)",0,,,2020
의창새마을금고헬스장,2022-01-12,,,,,영업/정상,경상남도 창원시 의창구 도계동 357-3 의창새마을금고,"경상남도 창원시 의창구 도계로 61, 의창새마을금고 3층 (도계동)","경상남도 창원시 의창구 도계로 61, 의창새마을금고 3층 (도계동)",0,,,2022
베네핏짐,2022-01-13,,,,,영업/정상,경상남도 김해시 삼계동 1416-5,"경상남도 김해시 가야로38번길 4, 303호 (삼계동)","경상남도 김해시 가야로38번길 4, 303호 (삼계동)",0,,,2022
머슬팩토리24 하대점,2022-01-21,,,,,영업/정상,경상남도 진주시 하대동 304-5 럭스빌,"경상남도 진주시 하대로 85, 럭스빌 3층 (하대동)","경상남도 진주시 하대로 85, 럭스빌 3층 (하대동)",0,,,2022
더클래식피트니스,2021-12-22,,,,,영업/정상,경상남도 진주시 초전동 1625-1,"경상남도 진주시 초전북로51번길 10, 3,4층 (초전동)","경상남도 진주시 초전북로51번길 10, 3,4층 (초전동)",0,,,2021
아일랜드 고현점,2021-12-23,,,,,영업/정상,경상남도 거제시 고현동 82-59,"경상남도 거제시 거제중앙로 1868-2, 센트럴빌 11층 (고현동)","경상남도 거제시 거제중앙로 1868-2, 센트럴빌 11층 (고현동)",0,,,2021
메인핏,2021-12-13,,,,,영업/정상,경상남도 창원시 마산회원구 양덕동 17-6 상현메디컬빌딩,"경상남도 창원시 마산회원구 양덕로 144, 상현메디컬빌딩 3층 301호 (양덕동)","경상남도 창원시 마산회원구 양덕로 144, 상현메디컬빌딩 3층 301호 (양덕동)",0,,,2021
와이짐,2022-01-11,,,,,영업/정상,"경상남도 창원시 성산구 가음동 21-20 가음시장대상가 4층 410호, 411호","경상남도 창원시 성산구 원이대로883번길 15-24, 가음시장대상가 4층 410호 411호 (가음동)","경상남도 창원시 성산구 원이대로883번길 15-24, 가음시장대상가 4층 410호 411호 (가음동)",0,,,2022
팀터틀랫 마산양덕점,2022-01-11,,,,,영업/정상,경상남도 창원시 마산회원구 양덕동 60-3 메트로엠,"경상남도 창원시 마산회원구 율림교로 13, 메트로엠 4층 401호 (양덕동)","경상남도 창원시 마산회원구 율림교로 13, 메트로엠 4층 401호 (양덕동)",0,,,2022
진해헬스 모도리 피트니스,2021-12-10,,,,,영업/정상,경상남도 창원시 진해구 광화동 1-1 중원빌딩,"경상남도 창원시 진해구 벚꽃로 20, 중원빌딩 6층 (광화동)","경상남도 창원시 진해구 벚꽃로 20, 중원빌딩 6층 (광화동)",0,,,2021
