사업장명,인허가일자,인허가취소일자,휴업시작일자,휴업종료일자,폐업일자,영업상태명,소재지전체주소,도로명전체주소,주소,"폐업,전출,휴업,취소,말소여부","폐업,전출,휴업,취소,말소일자","폐업,전출,휴업,취소,말소연도",인허가연도
비타민스포츠센타,2005-01-11,,,,20111202.0,폐업,부산광역시 사하구 하단동 487-6번지 2층,"부산광역시 사하구 낙동대로535번길 28  (하단동,2층)","부산광역시 사하구 낙동대로535번길 28  (하단동,2층)",1,2011-12-02,2011,2005
경부휘트니스,2005-01-12,,,,20080415.0,폐업,부산광역시 사하구 하단동 589-6번지,부산광역시 사하구 낙동남로 1412  (하단동),부산광역시 사하구 낙동남로 1412  (하단동),1,2008-04-15,2008,2005
우수여성전용헬스클럽,2005-04-18,,,,20071130.0,폐업,부산광역시 사하구 다대동 1582-17번지 송원빌딩 3층,"부산광역시 사하구 다송로84번길 58  (다대동,송원빌딩 3층)","부산광역시 사하구 다송로84번길 58  (다대동,송원빌딩 3층)",1,2007-11-30,2007,2005
용인헬스,1997-12-08,,,,20050404.0,폐업,부산광역시 수영구 망미동 212-9번지 3층,"부산광역시 수영구 수미로 59  (망미동,3층)","부산광역시 수영구 수미로 59  (망미동,3층)",1,2005-04-04,2005,1997
오션헬스스포츠클럽,1998-04-15,,,,20040102.0,폐업,부산광역시 수영구 남천동 248-2번지 6층,,부산광역시 수영구 남천동 248-2번지 6층,1,2004-01-02,2004,1998
대성헬스,1999-08-25,,,,20030419.0,폐업,부산광역시 수영구 민락동 181-8번지 3층,"부산광역시 수영구 광안해변로 278  (민락동,3층)","부산광역시 수영구 광안해변로 278  (민락동,3층)",1,2003-04-19,2003,1999
중앙헬스,1999-12-21,,,,20050401.0,폐업,부산광역시 수영구 망미동 822-1번지 4층,"부산광역시 수영구 연수로282번길 3  (망미동,4층)","부산광역시 수영구 연수로282번길 3  (망미동,4층)",1,2005-04-01,2005,1999
맥시안 휘트니스센타,2006-03-17,,,,20150708.0,폐업,"부산광역시 부산진구 양정동 406-5번지 3,4층일부","부산광역시 부산진구 중앙대로 933  (양정동,3,4층일부)","부산광역시 부산진구 중앙대로 933  (양정동,3,4층일부)",1,2015-07-08,2015,2006
황민 헬스클럽,2008-11-26,,,,20190207.0,폐업,부산광역시 부산진구 개금동 339-3번지 2층,부산광역시 부산진구 개금본동로 7 (개금동),부산광역시 부산진구 개금본동로 7 (개금동),1,2019-02-07,2019,2008
런던사우나헬스,2007-04-25,,,,20090223.0,폐업,부산광역시 사하구 다대동 93-8번지 보광빌딩 402호,"부산광역시 사하구 다대로381번길 46  (다대동,보광빌딩 402호)","부산광역시 사하구 다대로381번길 46  (다대동,보광빌딩 402호)",1,2009-02-23,2009,2007
극동레포츠타운,2000-12-23,,,,20110629.0,폐업,부산광역시 수영구 남천동 29-4번지 2층,"부산광역시 수영구 남천바다로10번길 72  (남천동,2층)","부산광역시 수영구 남천바다로10번길 72  (남천동,2층)",1,2011-06-29,2011,2000
동원스포츠,2007-04-25,,,,20140328.0,폐업,부산광역시 사하구 장림동 875번지 동원로얄듀크 121동 301호,"부산광역시 사하구 하신중앙로 2, 121동 301호 (장림동,동원로얄듀크)","부산광역시 사하구 하신중앙로 2, 121동 301호 (장림동,동원로얄듀크)",1,2014-03-28,2014,2007
씨티헬스클럽,2000-03-13,,,,20140612.0,폐업,부산광역시 수영구 광안동 98-5번지 지상2층,"부산광역시 수영구 수영로 660 (광안동, 지상2층)","부산광역시 수영구 수영로 660 (광안동, 지상2층)",1,2014-06-12,2014,2000
리복크로스핏 엑스티엠2,2012-10-11,,,,20180724.0,폐업,부산광역시 부산진구 부전동 156-28번지 B201호,"부산광역시 부산진구 서전로10번길 28, B201호 (부전동)","부산광역시 부산진구 서전로10번길 28, B201호 (부전동)",1,2018-07-24,2018,2012
신우헬스클럽,2001-04-19,,,,20030419.0,폐업,부산광역시 수영구 민락동 181-228번지 8층,"부산광역시 수영구 광안해변로 299  (민락동,8층)","부산광역시 수영구 광안해변로 299  (민락동,8층)",1,2003-04-19,2003,2001
산호헬스,2001-12-04,,,,20030419.0,폐업,부산광역시 수영구 망미동 462-6번지 4층,"부산광역시 수영구 과정로55번길 74  (망미동,4층)","부산광역시 수영구 과정로55번길 74  (망미동,4층)",1,2003-04-19,2003,2001
베가헬스,2002-05-28,,,,20050831.0,폐업,부산광역시 수영구 광안동 494-4번지 4층전부,"부산광역시 수영구 광일로 20  (광안동,4층전부)","부산광역시 수영구 광일로 20  (광안동,4층전부)",1,2005-08-31,2005,2002
뷰 휘트니스,2008-09-24,,,,20110705.0,폐업,부산광역시 사하구 하단동 534-2번지 8층,"부산광역시 사하구 낙동대로 472  (하단동,8층)","부산광역시 사하구 낙동대로 472  (하단동,8층)",1,2011-07-05,2011,2008
삼익헬스,2003-01-16,,,,20050103.0,폐업,"부산광역시 수영구 남천동 148-9번지 외 27,73번지",,"부산광역시 수영구 남천동 148-9번지 외 27,73번지",1,2005-01-03,2005,2003
동방헬스,2003-04-09,,,,20030801.0,폐업,부산광역시 수영구 광안동 132-8번지 지하1층,"부산광역시 수영구 수영로606번길 126  (광안동,지하1층)","부산광역시 수영구 수영로606번길 126  (광안동,지하1층)",1,2003-08-01,2003,2003
라브레포츠,2009-12-28,,,,20100630.0,폐업,부산광역시 사하구 다대동 1573-1번지 3층,"부산광역시 사하구 다송로72번길 80  (다대동,3층)","부산광역시 사하구 다송로72번길 80  (다대동,3층)",1,2010-06-30,2010,2009
BBC피트니스클럽,2003-04-19,,,,20210728.0,폐업,부산광역시 수영구 남천동 27-8 8층,"부산광역시 수영구 광남로 31 (남천동,8층)","부산광역시 수영구 광남로 31 (남천동,8층)",1,2021-07-28,2021,2003
대종스포츠,2010-07-14,,,,20110331.0,폐업,부산광역시 사하구 다대동 1573번지 2층,"부산광역시 사하구 다송로72번길 82  (다대동,2층)","부산광역시 사하구 다송로72번길 82  (다대동,2층)",1,2011-03-31,2011,2010
